# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
920             	1.27898614e-02	2.64029334e-01	-2.51239472e-01	4.12215045e-01	5.16312138e-01	-1.04097093e-01	3.10204616e-01	2.57634403e-01	-7.99366339e-03	-8.40223116e-22	-7.99366339e-03	7.99366339e-03
930             	1.21807730e-02	2.65803797e-01	-2.53623024e-01	4.15541457e-01	5.20074833e-01	-1.04533376e-01	3.12304104e-01	2.59713411e-01	-7.61298314e-03	-8.19832607e-22	-7.61298314e-03	7.61298314e-03
940             	1.25241294e-02	2.65362739e-01	-2.52838610e-01	4.14561079e-01	5.18552661e-01	-1.03991582e-01	3.11272121e-01	2.59100674e-01	-7.82758088e-03	-8.20639128e-22	-7.82758088e-03	7.82758088e-03
950             	1.23946022e-02	2.66765151e-01	-2.54370549e-01	4.16908561e-01	5.21186042e-01	-1.04277482e-01	3.12731762e-01	2.60567850e-01	-7.74662636e-03	-8.25131662e-22	-7.74662636e-03	7.74662636e-03
960             	1.27404132e-02	2.68575805e-01	-2.55835392e-01	4.19528958e-01	5.24062559e-01	-1.04533601e-01	3.14298080e-01	2.62205599e-01	-7.96275824e-03	-8.34213820e-22	-7.96275824e-03	7.96275824e-03
970             	1.25960591e-02	2.68790485e-01	-2.56194426e-01	4.19987929e-01	5.24392078e-01	-1.04404149e-01	3.14398114e-01	2.62492456e-01	-7.87253692e-03	-8.30675649e-22	-7.87253692e-03	7.87253692e-03
980             	1.30247327e-02	2.69090342e-01	-2.56065609e-01	4.20124761e-01	5.24108905e-01	-1.03984144e-01	3.14046525e-01	2.62577976e-01	-8.14045793e-03	-8.34710829e-22	-8.14045793e-03	8.14045793e-03
990             	1.31890043e-02	2.71421973e-01	-2.58232969e-01	4.23723954e-01	5.28383623e-01	-1.04659669e-01	3.16521646e-01	2.64827471e-01	-8.24312768e-03	-8.35188537e-22	-8.24312768e-03	8.24312768e-03
1000            	1.34228529e-02	2.72932850e-01	-2.59509997e-01	4.25954277e-01	5.30957588e-01	-1.05003310e-01	3.17980449e-01	2.66221423e-01	-8.38928305e-03	-8.44032499e-22	-8.38928305e-03	8.38928305e-03
1010            	1.29416141e-02	2.72469246e-01	-2.59527632e-01	4.25597503e-01	5.30371466e-01	-1.04773963e-01	3.17572714e-01	2.65998439e-01	-8.08850881e-03	-8.25023871e-22	-8.08850881e-03	8.08850881e-03
1020            	1.29651123e-02	2.74101322e-01	-2.61136210e-01	4.28190026e-01	5.33192164e-01	-1.05002138e-01	3.19097151e-01	2.67618766e-01	-8.10319519e-03	-8.17219800e-22	-8.10319519e-03	8.10319519e-03
1030            	1.25855085e-02	2.74501014e-01	-2.61915505e-01	4.29133215e-01	5.34521484e-01	-1.05388269e-01	3.19954877e-01	2.68208259e-01	-7.86594280e-03	-8.13619138e-22	-7.86594280e-03	7.86594280e-03
